instance_id,region,av_zone,instance_type,generation,modifiers,size,n_timestep,rmse,mape,smape_std,smape_cv,smape,direction_accuracy
29218,us-east-1,f,c6i.32xlarge,6,['i'],32xlarge,12,0.03229340192720874,2.2348049773558727,0.3401999763121062,0.1515507658139464,2.2447921954400276,0.0
29304,us-east-1,f,c6gd.16xlarge,6,"['g', 'd']",16xlarge,0,0.005899484519492284,0.9603533398713994,0.29375754214619815,0.3035139995257557,0.967855000445442,0.6666666666666666
29304,us-east-1,f,c6gd.16xlarge,6,"['g', 'd']",16xlarge,4,0.009231112002175025,1.286625458515551,0.9715299486950159,0.7479813141818669,1.2988692769119023,0.5555555555555555
29304,us-east-1,f,c6gd.16xlarge,6,"['g', 'd']",16xlarge,8,0.020702901556508186,3.499920844000765,0.9691166004459332,0.27123463083780247,3.572982540807859,0.6666666666666666
29304,us-east-1,f,c6gd.16xlarge,6,"['g', 'd']",16xlarge,12,0.029512050397121983,4.974823707434438,0.5698368275261237,0.11119567254189001,5.124631332316039,0.4444444444444444
29329,us-east-1,d,c7gd.8xlarge,7,"['g', 'd']",8xlarge,0,0.00653407187529222,1.0003560992338814,0.3296129744719575,0.33140199266981346,0.994601667348336,0.4444444444444444
29329,us-east-1,d,c7gd.8xlarge,7,"['g', 'd']",8xlarge,4,0.01651423589309936,2.3967077603354667,0.7239172197401675,0.3062251199344304,2.364003383834658,0.3333333333333333
29329,us-east-1,d,c7gd.8xlarge,7,"['g', 'd']",8xlarge,8,0.0307189117268686,4.4756453451329055,0.8255202950589026,0.18792631957078082,4.392787007931465,0.2222222222222222
29329,us-east-1,d,c7gd.8xlarge,7,"['g', 'd']",8xlarge,12,0.04001735498221875,6.281359640245912,0.7524303965621355,0.12293021930846758,6.120792761900712,0.2222222222222222
29457,us-east-1,b,c7a.4xlarge,7,['a'],4xlarge,0,0.0042285248049891535,1.2425705860492287,0.5212177303388559,0.42268926725959804,1.233099041567918,0.1111111111111111
29457,us-east-1,b,c7a.4xlarge,7,['a'],4xlarge,4,0.01026524624958532,3.3037279074302077,0.5426226426903655,0.16711470706736978,3.2470071139317223,0.2222222222222222
29457,us-east-1,b,c7a.4xlarge,7,['a'],4xlarge,8,0.015385763614169089,5.078122882108873,0.4886860822256991,0.09883558218536175,4.944434700745629,0.4444444444444444
29457,us-east-1,b,c7a.4xlarge,7,['a'],4xlarge,12,0.02172693014118095,7.393881879774926,0.7340301565467907,0.10308773576158622,7.1204411574661215,0.1111111111111111
29494,us-east-1,c,c6gd.16xlarge,6,"['g', 'd']",16xlarge,0,0.009441109635617726,1.5051269920644599,0.8865591410936587,0.5823896400159642,1.5222783514304217,0.7777777777777777
29494,us-east-1,c,c6gd.16xlarge,6,"['g', 'd']",16xlarge,4,0.017902949058501257,2.872660208221333,0.5004897592676737,0.1708869071378015,2.928777679053456,0.6666666666666666
29494,us-east-1,c,c6gd.16xlarge,6,"['g', 'd']",16xlarge,8,0.022000216176469915,4.29098803220627,0.46520627444429935,0.10591675278196991,4.3921878477706775,0.6666666666666666
29494,us-east-1,c,c6gd.16xlarge,6,"['g', 'd']",16xlarge,12,0.026912791898885357,5.454779444058947,0.9198208239249707,0.16374362109676077,5.617445233982107,0.6666666666666666
29534,us-east-1,c,c5n.2xlarge,5,['n'],2xlarge,0,0.003542911991553644,1.5478652626992757,0.7104308669246334,0.4633303734705059,1.5333138244386155,0.3333333333333333
29534,us-east-1,c,c5n.2xlarge,5,['n'],2xlarge,4,0.009389506462232149,4.5807212803731785,0.7444370751308389,0.1663590614685753,4.474881431520102,0.4444444444444444
29534,us-east-1,c,c5n.2xlarge,5,['n'],2xlarge,8,0.015899342702509294,8.084802514943389,0.8845301392957721,0.11389223593515005,7.766377857393381,0.2222222222222222
29534,us-east-1,c,c5n.2xlarge,5,['n'],2xlarge,12,0.02297693655963951,12.133068108038188,1.1031024790665274,0.09649013807343818,11.432282107700596,0.3333333333333333
29563,us-east-1,d,c6a.xlarge,6,['a'],xlarge,0,0.004512341856824729,8.398159125689764,3.101635564211922,0.3873344343735699,8.007642205186714,0.3333333333333333
29563,us-east-1,d,c6a.xlarge,6,['a'],xlarge,4,0.010738876380667525,24.014087548241296,4.267935524071998,0.20013375800834995,21.325415394907697,0.4444444444444444
29563,us-east-1,d,c6a.xlarge,6,['a'],xlarge,8,0.018274760592445427,49.62404488805021,5.825291201355962,0.1474423532824052,39.508940760043565,0.1111111111111111
29563,us-east-1,d,c6a.xlarge,6,['a'],xlarge,12,0.026621147986736156,93.00906773463315,7.312568468048873,0.11607880090450176,62.996588619699274,0.1111111111111111
29612,us-east-1,f,c5ad.xlarge,5,"['a', 'd']",xlarge,0,0.0029480717512946997,1.2853995646309144,0.5067960401408992,0.39721333589358127,1.2758787138926186,0.6666666666666666
29612,us-east-1,f,c5ad.xlarge,5,"['a', 'd']",xlarge,4,0.007136804816933415,3.3745338235016136,0.6658018106732336,0.20077993732000635,3.316077390800595,0.6666666666666666
29612,us-east-1,f,c5ad.xlarge,5,"['a', 'd']",xlarge,8,0.012102758772469161,5.972167523230996,0.7572800383259661,0.13066857693497083,5.795425771743408,0.6666666666666666
29612,us-east-1,f,c5ad.xlarge,5,"['a', 'd']",xlarge,12,0.01773064131886029,9.094348699809144,0.8444543895789517,0.09714944457963645,8.69232339137797,0.5555555555555555
29641,us-east-1,d,c5ad.4xlarge,5,"['a', 'd']",4xlarge,0,0.0036857019963471424,1.0074353369957187,0.5246280528874095,0.5241652569307346,1.0008829199389995,0.0
29641,us-east-1,d,c5ad.4xlarge,5,"['a', 'd']",4xlarge,4,0.009560067902849696,2.974970797743191,0.5248334246081504,0.1791308188200195,2.9298890501665897,0.1111111111111111
29641,us-east-1,d,c5ad.4xlarge,5,"['a', 'd']",4xlarge,8,0.015054999496585491,4.7760114040005845,0.6143306523666318,0.13179710072804082,4.661184874121653,0.2222222222222222
29641,us-east-1,d,c5ad.4xlarge,5,"['a', 'd']",4xlarge,12,0.02084963815711204,6.771842439611938,0.4685403715125469,0.07158095462823044,6.5456010463398,0.4444444444444444
29738,us-east-1,c,c6a.12xlarge,6,['a'],12xlarge,0,0.002419682661743545,0.34446235271956094,0.1975564580118371,0.5717282493494023,0.34554258642396335,0.6666666666666666
29738,us-east-1,c,c6a.12xlarge,6,['a'],12xlarge,4,0.0028006977299418925,0.4175354550424537,0.31130862471275533,0.7437998763128597,0.41853815068639727,0.4444444444444444
29738,us-east-1,c,c6a.12xlarge,6,['a'],12xlarge,8,0.0054012699753849275,0.9749594388510733,0.47317805786434614,0.48849798597145394,0.9686387077386988,0.2222222222222222
29738,us-east-1,c,c6a.12xlarge,6,['a'],12xlarge,12,0.007956504411349218,1.4299664021178964,0.30514832144725074,0.21562362968582885,1.4151896148481615,0.5555555555555555
29779,us-east-1,b,c1.xlarge,1,[],xlarge,0,0.004700681921633499,2.7137456314880057,1.1459024745780493,0.42953965509888664,2.6677454828105334,0.3333333333333333
29779,us-east-1,b,c1.xlarge,1,[],xlarge,4,0.010519627694778136,6.866011050364304,1.3240619000499412,0.19998493862648287,6.620808092568043,0.3333333333333333
29779,us-east-1,b,c1.xlarge,1,[],xlarge,8,0.018146371273753594,12.574524699820437,1.3740414855459822,0.11650831583570495,11.793505688328692,0.4444444444444444
29779,us-east-1,b,c1.xlarge,1,[],xlarge,12,0.024167647790895867,17.80900355933383,1.3434958532274346,0.0823461503057287,16.315223580451576,0.5555555555555555
29847,us-east-1,e,c4.xlarge,4,[],xlarge,0,0.004473073130821133,7.468811638689591,2.7469605626744418,0.38370843697174317,7.158978792214391,0.2222222222222222
29847,us-east-1,e,c4.xlarge,4,[],xlarge,4,0.010688926686784221,21.11961148081178,3.8046637099609377,0.20007555324596227,19.01613489621936,0.3333333333333333
29847,us-east-1,e,c4.xlarge,4,[],xlarge,8,0.01765033372827829,41.36708542835857,4.846622304352503,0.14204056363811907,34.12139589012323,0.3333333333333333
29847,us-east-1,e,c4.xlarge,4,[],xlarge,12,0.025638281986764353,74.28644459729769,6.373849848451407,0.11831121462355972,53.87358982604985,0.1111111111111111
29921,us-east-1,a,c6a.xlarge,6,['a'],xlarge,0,0.004293108489637955,7.069466628348144,2.6442528712543063,0.38935105425721017,6.791436268996153,0.3333333333333333
